veracity,statement,light_normalization
True,"""The health insurance plan that (members of Congress) have is no different than any other federal employee's in the United States government.""","""the health insurance plan that (members of congress) have is no different than any other federal employee's in the united states government."""
True,"""We've had 11,000 attempts to amend the Constitution since 1789.""","""we've had 11,000 attempts to amend the constitution since 1789."""
False,"""As we near the 10th anniversary of the 9/11 terrorist attacks, we should not forget that some of the hijackers used New Jersey driver’s licenses to board those aircraft.""","""as we near the 10th anniversary of the 9/11 terrorist attacks, we should not forget that some of the hijackers used new jersey drivers licenses to board those aircraft."""
False,"""The studies have shown us that [drug testing for welfare recipients] will be saving us money""","""the studies have shown us that [drug testing for welfare recipients] will be saving us money"""
True,"""The United States death rate is two-and-a-half times higher for those who do not have a high school education.""","""the united states death rate is two-and-a-half times higher for those who do not have a high school education."""
True,"""Hair stylists are required to undergo more government scrutiny than foreclosure consultants.""","""hair stylists are required to undergo more government scrutiny than foreclosure consultants."""
True,"""The governor having a meeting ... isn't covered by the open meetings act.""","""the governor having a meeting ... isn't covered by the open meetings act."""
True,"""Certainly we're going to be the most restrictive state in the land … in terms of who can get medical marijuana, how it will be prescribed and how it will be achieved in terms of moving it into the marketplace.""","""certainly we're going to be the most restrictive state in the land ... in terms of who can get medical marijuana, how it will be prescribed and how it will be achieved in terms of moving it into the marketplace."""
True,"""One in every five families in the state of New Jersey has a loved one with a mental illness, a serious mental illness, and today, we don’t care.""","""one in every five families in the state of new jersey has a loved one with a mental illness, a serious mental illness, and today, we dont care."""
False,"""You might be surprised to know that 137 billion gallons flows (into Lake Erie) every day. You might be surprised to know that only 86.3 billion gallons flow out. ... Leaving us a net surplus of approximately 50 billion gallons a day.""","""you might be surprised to know that 137 billion gallons flows (into lake erie) every day. you might be surprised to know that only 86.3 billion gallons flow out. ... leaving us a net surplus of approximately 50 billion gallons a day."""
